Name,Category,Type,Image,Recipe,Ingredients,Critical,Prep
Vermicelli (Semiya Upma),Breakfast,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Vermicelli_Upma_in_North_India.jpg/500px-Vermicelli_Upma_in_North_India.jpg,https://www.youtube.com/results?search_query=Vermicelli%20recipe,,,
Sabudana Khichdi,Breakfast,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Alu_Sabudana_Khichdi.jpg/500px-Alu_Sabudana_Khichdi.jpg,https://www.youtube.com/results?search_query=Sabudana%20Khichdi%20recipe,,,
Upma,Breakfast,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Upma_South_India.JPG/500px-Upma_South_India.JPG,https://www.youtube.com/results?search_query=Upma%20recipe,,,
Uttapam,Breakfast,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Onion_Uttappam_01.jpg/500px-Onion_Uttappam_01.jpg,https://www.youtube.com/results?search_query=Uttapam%20recipe,,Rice, Urad Dal,Soak & Ferment batter (12+ hrs)
Poha,Breakfast,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Poha_4.jpg/500px-Poha_4.jpg,https://www.youtube.com/results?search_query=Poha%20recipe,,,
Vegetable Quinoa,Breakfast,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Vegan_quinoa_with_vegetables_-_Quinoa_con_pisto_%286891318087%29.jpg/500px-Vegan_quinoa_with_vegetables_-_Quinoa_con_pisto_%286891318087%29.jpg,https://www.youtube.com/results?search_query=Vegetable%20Quinoa%20recipe,,,
Fried Idly,Breakfast,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Fried_idlies_of_Tamilnadu.jpg/500px-Fried_idlies_of_Tamilnadu.jpg,https://www.youtube.com/results?search_query=Fried%20Idly%20recipe,,Rice, Urad Dal,Soak & Ferment batter (12+ hrs)
Veg cheese sandwiches (Grilled and Non-Grilled),Breakfast,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Veg_Cheese_Sandwich.jpg/500px-Veg_Cheese_Sandwich.jpg,https://www.youtube.com/results?search_query=Veg%20cheese%20sandwiches%20recipe,,,
Sooji Toast,Breakfast,Light,https://via.placeholder.com/400?text=Sooji%20Toast,https://www.youtube.com/results?search_query=Sooji%20Toast%20recipe,,,
Chilla,Breakfast,Light,https://via.placeholder.com/400?text=Chilla,https://www.youtube.com/results?search_query=Chilla%20recipe,,Besan/Moong Dal,Soak Dal for 2-4 hrs (if Moong)
"Kala Desi Chana Boiled, Onion, Tomato cut",Breakfast,Light,https://via.placeholder.com/400?text=Kala%20Desi%20Chana%20Boiled,https://www.youtube.com/results?search_query=Kala%20Desi%20Chana%20Boiled%20recipe,,Chickpeas,Soak Chole overnight (8-10 hrs)
"Aloo Paratha, curd",Breakfast,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Aloo_Paratha_%2896238%29.jpg/500px-Aloo_Paratha_%2896238%29.jpg,https://www.youtube.com/results?search_query=Aloo%20Paratha%20recipe,,,
"Paneer Paratha, curd",Breakfast,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Paratha_from_Narathiwas%2C_Thailand.jpg/500px-Paratha_from_Narathiwas%2C_Thailand.jpg,https://www.youtube.com/results?search_query=Paneer%20Paratha%20recipe,,Paneer,
"Methi Paratha, chutney",Breakfast,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Methi_%28fenugreek%29_parathas.jpg/500px-Methi_%28fenugreek%29_parathas.jpg,https://www.youtube.com/results?search_query=Methi%20Paratha%20recipe,,Methi,
Pav Bhaji,Breakfast,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Pav_Bhaji.jpg/500px-Pav_Bhaji.jpg,https://www.youtube.com/results?search_query=Pav%20Bhaji%20recipe,,,
Idly Sambhar,Breakfast,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/INSTANT_RAWA_IDLY_WITH_SAMBHAR.jpg/500px-INSTANT_RAWA_IDLY_WITH_SAMBHAR.jpg,https://www.youtube.com/results?search_query=Idly%20Sambhar%20recipe,,Rice, Urad Dal,Soak & Ferment batter (12+ hrs)
"Chole, Poori",Breakfast,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Chole_Bhature_4.jpg/500px-Chole_Bhature_4.jpg,https://www.youtube.com/results?search_query=Chole%20recipe,,Chickpeas,Soak Chole overnight (8-10 hrs)
"Aloo Bhaji, Poori",Breakfast,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Aloo_Puri.jpg/500px-Aloo_Puri.jpg,https://www.youtube.com/results?search_query=Aloo%20Bhaji%20recipe,,,
Bread Roll,Breakfast,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Replica_bread_roll%2C_Walker_Art_Gallery.jpg/500px-Replica_bread_roll%2C_Walker_Art_Gallery.jpg,https://www.youtube.com/results?search_query=Bread%20Roll%20recipe,,,
"Chole, Bhature",Breakfast,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Chole_Bhature_4.jpg/500px-Chole_Bhature_4.jpg,https://www.youtube.com/results?search_query=Chole%20recipe,,Chickpeas,Soak Chole overnight (8-10 hrs)
Dal Dhokli,Breakfast,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Dal_Dhokali.jpg/500px-Dal_Dhokali.jpg,https://www.youtube.com/results?search_query=Dal%20Dhokli%20recipe,,,
Paneer Paratha,Breakfast,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Paratha_from_Narathiwas%2C_Thailand.jpg/500px-Paratha_from_Narathiwas%2C_Thailand.jpg,https://www.youtube.com/results?search_query=Paneer%20Paratha%20recipe,,Paneer,
Pyaz Paratha,Breakfast,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Tandoori_Aloo_Pyaz_Parantha.jpg/500px-Tandoori_Aloo_Pyaz_Parantha.jpg,https://www.youtube.com/results?search_query=Pyaz%20Paratha%20recipe,,Paneer,
Aloo Paratha,Breakfast,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Aloo_Paratha_%2896238%29.jpg/500px-Aloo_Paratha_%2896238%29.jpg,https://www.youtube.com/results?search_query=Aloo%20Paratha%20recipe,,Paneer,
Gobhi Paratha,Breakfast,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Gobhi_Parantha.JPG/500px-Gobhi_Parantha.JPG,https://www.youtube.com/results?search_query=Gobhi%20Paratha%20recipe,,Paneer,
"Masala Dosa, Chutney, Sambhar",Breakfast,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Masala_Dosa_in_Banana_Leaf_with_Chutney.jpg/500px-Masala_Dosa_in_Banana_Leaf_with_Chutney.jpg,https://www.youtube.com/results?search_query=Masala%20Dosa%20recipe,,Rice, Urad Dal,Soak & Ferment batter (12+ hrs)
"Rajma, Jeera Onion Rice",Lunch,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Rajma_Chawal_by_Rama_Bhave.jpg/500px-Rajma_Chawal_by_Rama_Bhave.jpg,https://www.youtube.com/results?search_query=Rajma%20recipe,,Kidney Beans,Soak Rajma overnight (8-10 hrs)
"Jeera Aloo, Dal, Roti",Lunch,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Jeera-aloo-foodpanda.jpg/500px-Jeera-aloo-foodpanda.jpg,https://www.youtube.com/results?search_query=Jeera%20Aloo%20recipe,,,
"Aloo Gajar Beans, Dal, Roti",Lunch,Light,https://via.placeholder.com/400?text=Aloo%20Gajar%20Beans,https://www.youtube.com/results?search_query=Aloo%20Gajar%20Beans%20recipe,,,
"Aloo Gobhi, Dal, Roti",Lunch,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Aloo-ghobhi-sabji.jpg/500px-Aloo-ghobhi-sabji.jpg,https://www.youtube.com/results?search_query=Aloo%20Gobhi%20recipe,,,
"Bhindi, Roti, Dal",Lunch,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Quiabo.jpg/500px-Quiabo.jpg,https://www.youtube.com/results?search_query=Bhindi%20recipe,,Bhindi,
"Kadhi, Rice",Lunch,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Kadhi_Gole_Food_by_Ms_Ujwala_Kasambe_DSCN9907_%284%29.jpg/500px-Kadhi_Gole_Food_by_Ms_Ujwala_Kasambe_DSCN9907_%284%29.jpg,https://www.youtube.com/results?search_query=Kadhi%20recipe,,,
"Lauki Kofta, Roti",Lunch,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Lauki_Kofta_Curry.JPG/500px-Lauki_Kofta_Curry.JPG,https://www.youtube.com/results?search_query=Lauki%20Kofta%20recipe,,Lauki,
"Matar mushroom, Roti",Lunch,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Matar_mushroom.jpg/500px-Matar_mushroom.jpg,https://www.youtube.com/results?search_query=Matar%20mushroom%20recipe,,Mushrooms,
"Arbi masala, Roti, Dal",Lunch,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Arbi_Gosht.jpg/500px-Arbi_Gosht.jpg,https://www.youtube.com/results?search_query=Arbi%20masala%20recipe,,Arbi,
"Bharwa bhindi, Roti",Lunch,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Stuffed_Okra_Recipe_From_Indian_Cuisine_By_Sonia_Goyal.jpg/500px-Stuffed_Okra_Recipe_From_Indian_Cuisine_By_Sonia_Goyal.jpg,https://www.youtube.com/results?search_query=Bharwa%20bhindi%20recipe,,Bhindi,
"Dal, Rice",Lunch,Light,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Dal_curry_20230930.jpg/500px-Dal_curry_20230930.jpg,https://www.youtube.com/results?search_query=Dal%20recipe,,,
"Baigan bharta, roti",Lunch,Light,https://via.placeholder.com/400?text=Baigan%20bharta,https://www.youtube.com/results?search_query=Baigan%20bharta%20recipe,,,
"Aloo baigan, dal, roti",Lunch,Light,https://via.placeholder.com/400?text=Aloo%20baigan,https://www.youtube.com/results?search_query=Aloo%20baigan%20recipe,,,
"Aloo Methi, dal, roti",Lunch,Light,https://via.placeholder.com/400?text=Aloo%20Methi,https://www.youtube.com/results?search_query=Aloo%20Methi%20recipe,,,
"Aloo Parwal, dal, roti",Lunch,Light,https://via.placeholder.com/400?text=Aloo%20Parwal,https://www.youtube.com/results?search_query=Aloo%20Parwal%20recipe,,,
"Kaddu, roti, raita",Lunch,Light,https://via.placeholder.com/400?text=Kaddu,https://www.youtube.com/results?search_query=Kaddu%20recipe,,,
"Chole, Rice",Lunch,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Chole_Bhature_4.jpg/500px-Chole_Bhature_4.jpg,https://www.youtube.com/results?search_query=Chole%20recipe,,Chickpeas,Soak Chole overnight (8-10 hrs)
"Dal makhani, rice",Lunch,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Dal_Makhani.jpg/500px-Dal_Makhani.jpg,https://www.youtube.com/results?search_query=Dal%20makhani%20recipe,,Urad Dal, Rajma,Soak Dal/Rajma overnight
"Bharwa shimla mirch, roti",Lunch,Heavy,https://via.placeholder.com/400?text=Bharwa%20shimla%20mirch,https://www.youtube.com/results?search_query=Bharwa%20shimla%20mirch%20recipe,,Capsicum,
"Aloo shimla, Roti",Lunch,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Chilly_Capsicum_Potato.JPG/500px-Chilly_Capsicum_Potato.JPG,https://www.youtube.com/results?search_query=Aloo%20shimla%20recipe,,Capsicum,
"Gatte ki sabji, Roti",Lunch,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/TraditionalGatteKiSabji_HomeMade_Mumbai.jpg/500px-TraditionalGatteKiSabji_HomeMade_Mumbai.jpg,https://www.youtube.com/results?search_query=Gatte%20ki%20sabji%20recipe,,,
"Malai Kofta, Roti",Lunch,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Malai_Kofta.jpg/500px-Malai_Kofta.jpg,https://www.youtube.com/results?search_query=Malai%20Kofta%20recipe,,,
"Dum Aloo, Roti",Lunch,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Kashmiri_Dum_Aaloo.JPG/500px-Kashmiri_Dum_Aaloo.JPG,https://www.youtube.com/results?search_query=Dum%20Aloo%20recipe,,,
Dal Baati,Lunch,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Dal_Baati.jpg/500px-Dal_Baati.jpg,https://www.youtube.com/results?search_query=Dal%20Baati%20recipe,,,
"Methi malai matar, Roti",Lunch,Heavy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Methi_Malai_Matar.jpg/500px-Methi_Malai_Matar.jpg,https://www.youtube.com/results?search_query=Methi%20malai%20matar%20recipe,,Methi,
