Dish Name,Image URL
"Vermicelli (Semiya Upma)",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Vermicelli%20close%20up%20professional%20photography
"Sabudana Khichdi",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Sabudana%20Khichdi%20close%20up%20professional%20photography
"Upma",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Upma%20close%20up%20professional%20photography
"Uttapam",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Uttapam%20close%20up%20professional%20photography
"Poha",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Poha%20close%20up%20professional%20photography
"Vegetable Quinoa",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Vegetable%20Quinoa%20close%20up%20professional%20photography
"Fried Idly",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Fried%20Idly%20close%20up%20professional%20photography
"Veg cheese sandwiches (Grilled and Non-Grilled)",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Veg%20cheese%20sandwiches%20close%20up%20professional%20photography
"Sooji Toast",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Sooji%20Toast%20close%20up%20professional%20photography
"Chilla",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Chilla%20close%20up%20professional%20photography
"Kala Desi Chana Boiled, Onion, Tomato cut",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Kala%20Desi%20Chana%20Boiled%20close%20up%20professional%20photography
"Aloo Paratha, curd",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Aloo%20Paratha%20close%20up%20professional%20photography
"Paneer Paratha, curd",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Paneer%20Paratha%20close%20up%20professional%20photography
"Methi Paratha, chutney",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Methi%20Paratha%20close%20up%20professional%20photography
"Pav Bhaji",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Pav%20Bhaji%20close%20up%20professional%20photography
"Idly Sambhar",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Idly%20Sambhar%20close%20up%20professional%20photography
"Chole, Poori",https://image.pollinations.ai/prompt/delicious%20indian%20food%20Chole%20close%20up%20professional%20photography
